Jugador,Nacionalidad,Posicion,Equipo,Competicion,Edad,Partidos jugados,Minutos jugados,Titularidades,Goles,Asistencias,Atajadas,Penales atajados,Penales convertidos,Penales ejecutados,Entradas (tackles),Tarjetas amarillas,Tarjetas rojas,Regates exitosos,Pases completados,Intercepciones,Nac_Esperada,Es_autoctono
Logan Costa,cv CPV,DF,Toulouse,Ligue 1,24.0,1,90,1,0,0,,,0,0,2,0,0,0,47,2,fr FRA,False
Samu Costa,pt POR,MF,Mallorca,La Liga,24.0,29,2391,28,0,2,,,0,0,79,8,1,10,1056,30,es ESP,False
Grégoire Coudert,fr FRA,GK,Brest,Ligue 1,26.0,2,180,2,0,0,9.0,0.0,0,0,0,0,0,0,54,0,fr FRA,True
Vladimír Coufal,cz CZE,DF,West Ham,Premier League,32.0,20,958,10,0,0,,,0,0,19,4,0,3,400,8,eng ENG,False
Lassana Coulibaly,ml MLI,MF,Lecce,Serie A,29.0,36,2487,28,0,0,,,0,0,45,3,0,15,741,16,it ITA,False
Lasso Coulibaly,gh GHA,"FW,MF",Auxerre,Ligue 1,22.0,2,38,0,1,0,,,0,0,0,0,0,1,9,0,fr FRA,False
Mamadou Coulibaly,fr FRA,MF,Monaco,Ligue 1,21.0,1,8,0,0,0,,,0,0,1,0,0,1,3,0,fr FRA,True
Soumaïla Coulibaly,fr FRA,DF,Brest,Ligue 1,21.0,7,438,5,0,0,,,0,0,4,1,0,0,281,5,fr FRA,True
Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,Ligue 1,24.0,23,1305,15,3,0,,,0,0,31,4,2,28,269,10,fr FRA,True
Woyo Coulibaly,fr FRA,DF,Parma,Serie A,25.0,14,1084,12,0,1,,,0,0,13,1,1,8,514,8,it ITA,False
Marius Courcoul,fr FRA,"MF,DF",Angers,Ligue 1,18.0,7,219,2,0,0,,,0,0,3,0,0,1,101,4,fr FRA,True
Thibaut Courtois,be BEL,GK,Real Madrid,La Liga,33.0,29,2610,29,0,0,75.0,0.0,0,0,0,1,0,0,828,1,es ESP,False
Yan Couto,br BRA,"DF,FW",Dortmund,Bundesliga,22.0,21,895,8,0,0,,,0,0,24,5,0,13,586,10,de GER,False
Nicolas Cozza,fr FRA,"DF,MF",Nantes,Ligue 1,26.0,27,2051,23,1,0,,,0,0,59,3,1,5,608,25,fr FRA,True
Aaron Cresswell,eng ENG,DF,West Ham,Premier League,35.0,16,766,9,0,0,,,0,0,11,3,0,1,462,8,eng ENG,True
Charlie Cresswell,eng ENG,DF,Toulouse,Ligue 1,22.0,30,2502,28,3,1,,,0,0,35,5,0,3,1242,28,fr FRA,False
Bryan Cristante,it ITA,MF,Roma,Serie A,30.0,27,1775,20,2,2,,,0,0,43,7,0,5,963,16,it ITA,True
Domen Črnigoj,si SVN,MF,Venezia,Serie A,29.0,8,136,1,0,0,,,0,0,4,0,0,0,25,4,it ITA,False
Juan Cruz Armada,es ESP,DF,Osasuna,La Liga,32.0,22,1264,16,0,0,,,0,0,21,4,0,1,424,8,es ESP,True
Juan Cruz,es ESP,"FW,MF",Leganés,La Liga,25.0,32,2080,24,4,3,,,0,0,30,2,0,38,453,11,es ESP,True
Juan Cuadrado,co COL,"DF,MF",Atalanta,Serie A,36.0,22,813,7,0,2,,,0,0,19,3,0,17,463,7,it ITA,False
Pau Cubarsí,es ESP,DF,Barcelona,La Liga,18.0,32,2398,27,0,3,,,0,0,29,3,0,6,2302,13,es ESP,True
Cucho,co COL,FW,Betis,La Liga,26.0,12,959,12,4,1,,,0,0,14,0,0,14,185,7,es ESP,False
Marc Cucurella,es ESP,DF,Chelsea,Premier League,26.0,34,2808,31,4,1,,,0,0,61,10,1,4,1612,25,eng ENG,False
Jorge Cuenca,es ESP,DF,Fulham,Premier League,25.0,6,259,3,0,0,,,0,0,2,0,0,2,102,2,eng ENG,False
Matheus Cunha,br BRA,"MF,FW",Wolves,Premier League,25.0,31,2483,28,15,6,,,0,0,35,4,0,58,764,17,eng ENG,False
Patrick Cutrone,it ITA,FW,Como,Serie A,27.0,31,1979,23,7,4,,,0,1,16,1,0,9,327,4,it ITA,True
Tomáš Čvančara,cz CZE,FW,Gladbach,Bundesliga,24.0,27,807,7,2,0,,,0,0,4,5,1,6,169,5,de GER,False
Wylan Cyprien,fr FRA,MF,Parma,Serie A,30.0,2,28,0,0,0,,,0,0,0,0,0,0,14,1,it ITA,False
Danilo D'Ambrosio,it ITA,DF,Monza,Serie A,36.0,20,1095,12,0,1,,,0,0,28,2,1,2,566,15,it ITA,True
Lucas Da Cunha,fr FRA,MF,Como,Serie A,23.0,34,2433,28,3,2,,,0,0,40,4,0,11,1337,15,it ITA,False
Samuel Dahl,se SWE,"DF,MF",Roma,Serie A,25.0,2,43,0,0,0,,,0,0,2,0,0,0,24,0,it ITA,False
Finn Dahmen,de GER,GK,Augsburg,Bundesliga,27.0,18,1620,18,0,0,64.0,0.0,0,0,1,0,0,0,501,0,de GER,True
Thomas Dähne,de GER,GK,Holstein Kiel,Bundesliga,31.0,8,720,8,0,0,33.0,1.0,0,0,0,0,0,0,272,0,de GER,True
Mahmoud Dahoud,de GER,MF,Eint Frankfurt,Bundesliga,29.0,9,364,3,1,1,,,0,0,9,2,0,1,191,2,de GER,True
Patson Daka,zm ZAM,"FW,MF",Leicester City,Premier League,26.0,21,653,5,1,0,,,0,0,17,0,0,2,101,1,eng ENG,False
Ameen Al-Dakhil,be BEL,DF,Stuttgart,Bundesliga,23.0,7,432,6,0,0,,,0,0,6,0,1,0,311,9,de GER,False
Thijs Dallinga,nl NED,FW,Bologna,Serie A,24.0,30,1109,11,2,2,,,0,0,10,1,0,2,204,1,it ITA,False
Diogo Dalot,pt POR,DF,Manchester Utd,Premier League,26.0,32,2788,31,0,3,,,0,0,67,5,0,27,1336,37,eng ENG,False
Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,Premier League,24.0,36,2742,32,2,10,,,0,0,80,2,0,49,1038,26,eng ENG,False
Maat Daniel Caprini,it ITA,FW,Fiorentina,Serie A,19.0,2,8,0,0,0,,,0,0,0,0,0,0,5,0,it ITA,True
Flavius Daniliuc,at AUT,DF,Hellas Verona,Serie A,24.0,18,1004,9,0,0,,,0,0,26,0,0,4,375,7,it ITA,False
